Date,DateLabel,ALL,FOOD,ALCOHOL/TOBACCO,CLOTHING,HOUSING,FURNITURE,HEALTH,TRANSPORT,COMMUNICATION,RECREATION,EDUCATION,HOTEL/RESTUARANT,MISC,dALL,ALL_YEAR,ALL_YEAR_AVERAGE,ALL_MODEL
1988-01-01,1988 Jan,61.9,67.1,43.3,159.3,49.4,82.9,51.3,53.9,111.7,74.8,30.6,44.3,54.6,-0.654322344,87.21904762,63.48333333,62.55432234
1988-02-01,1988 Feb,62.1,67.5,43.5,160.3,49.4,83.4,51.4,53.9,111.7,75,30.6,44.5,54.9,-0.787655678,87.55238095,63.48333333,62.88765568
1988-03-01,1988 Mar,62.3,67.7,43.6,161.6,49.4,84,52.1,54.2,111.7,75,30.6,44.7,54.9,-0.906703297,87.87142857,63.48333333,63.2067033
1988-04-01,1988 Apr,63.1,68.1,44.2,161.9,50.7,84.4,52.4,54.9,111.7,76.4,30.6,45.2,55.2,-0.797179487,88.56190476,63.48333333,63.89717949
1988-05-01,1988 May,63.4,68.3,44.4,164.2,51.1,84.8,52.5,55.1,111.7,76.7,30.7,45.4,55.4,0.104725275,87.96,63.48333333,63.29527473
1988-06-01,1988 Jun,63.6,68.4,44.4,164.7,51.6,85,52.7,55.6,111.6,76.6,30.7,45.6,55.6,0.204725275,88.06,63.48333333,63.39527473
1988-07-01,1988 Jul,63.6,67.8,44.4,161.9,52,84.9,52.8,55.9,111.6,76.7,30.7,45.7,56.2,0.529725275,87.735,63.48333333,63.07027473
1988-08-01,1988 Aug,63.8,68.1,44.5,162,52,85.3,53.1,56.2,111.6,76.9,30.7,46,56.5,0.399725275,88.065,63.48333333,63.40027473
1988-09-01,1988 Sep,64.1,68.3,44.5,164.3,52.1,85.9,53.2,56.3,112.3,76.8,32.5,46.3,56.6,0.364725275,88.4,63.48333333,63.73527473
1988-10-01,1988 Oct,64.4,68.5,44.7,167.6,52.3,86.2,53.6,56.4,112.3,77.1,32.5,46.6,56.8,0.539725275,88.525,63.48333333,63.86027473
1988-11-01,1988 Nov,64.7,69,44.8,168.6,52.4,86.5,53.8,56.4,112.3,77.3,32.6,46.8,57.3,0.744725275,88.62,63.48333333,63.95527473
1988-12-01,1988 Dec,64.8,69.4,44.6,169.2,52.4,86.6,53.9,56.3,112.3,77.3,32.6,46.9,57.5,0.594725275,88.87,63.48333333,64.20527473
1989-01-01,1989 Jan,65,70,45.1,165.6,52.5,86.1,55.2,56.7,112.2,77.5,32.7,47.2,58.3,1.179725275,88.485,63.48333333,63.82027473
1989-02-01,1989 Feb,65.2,70.2,45.3,167.2,52.6,86.6,55.5,56.9,112.2,77.7,32.8,47.3,58.8,-0.979322344,87.21904762,67.10833333,66.17932234
1989-03-01,1989 Mar,65.5,70.6,45.4,167.9,52.7,87,55.6,57.3,112.2,77.8,32.8,47.5,58.9,-1.012655678,87.55238095,67.10833333,66.51265568
1989-04-01,1989 Apr,66.4,71.4,45.6,170.8,54.5,87.5,56.4,58.4,112.3,78.3,32.8,47.8,59.5,-0.431703297,87.87142857,67.10833333,66.8317033
1989-05-01,1989 May,66.7,71.9,45.6,171.9,54.7,87.8,56.8,59,112.2,79,32.9,48,59.7,-0.822179487,88.56190476,67.10833333,67.52217949
1989-06-01,1989 Jun,67,72.1,45.7,172.2,55.1,88,57.1,59.3,112.2,79.1,33,48.2,59.7,0.079725275,87.96,67.10833333,66.92027473
1989-07-01,1989 Jul,66.9,71.7,45.7,168.9,55.4,87.9,57.3,59.2,112.1,79.4,33,48.4,59.9,-0.120274725,88.06,67.10833333,67.02027473
1989-08-01,1989 Aug,67,72,45.8,168.9,55.5,88.2,57.7,58.8,112.1,79.5,33.1,48.9,60,0.304725275,87.735,67.10833333,66.69527473
1989-09-01,1989 Sep,67.5,72.5,46,172.4,55.6,88.6,57.7,59.1,114.4,79.7,34.5,49.2,60.2,0.474725275,88.065,67.10833333,67.02527473
1989-10-01,1989 Oct,68,73.3,46.4,174.5,55.9,89.1,58,59.2,115.9,80.2,34.5,49.6,60.5,0.639725275,88.4,67.10833333,67.36027473
1989-11-01,1989 Nov,68.2,74,46.4,175.5,56.1,89.5,58.2,59,116.8,80.9,34.8,49.8,60.9,0.714725275,88.525,67.10833333,67.48527473
1989-12-01,1989 Dec,68.3,74.7,46.2,175.4,56.2,89.7,58.2,58.5,117,81,34.9,50,61.1,0.719725275,88.62,67.10833333,67.58027473
1990-01-01,1990 Jan,68.6,75.6,46.5,171.6,56.6,89.4,59.6,59,117.1,81.3,35.3,50.3,61.4,0.769725275,88.87,67.10833333,67.83027473
1990-02-01,1990 Feb,69,76.3,46.8,173.6,56.5,90,59.7,59.5,117.3,81.5,35.5,50.5,61.8,1.554725275,88.485,67.10833333,67.44527473
1990-03-01,1990 Mar,69.4,76.7,46.9,174.7,56.7,90.9,60.3,59.8,117.3,81.8,35.5,50.8,62.1,-1.954322344,87.21904762,72.28333333,71.35432234
