Abbr,State,Date,Region,Population,Under 18,Area,Latitude,Longitude,Water,Density,Summer,Winter,Rain,Violent Crimes,Income,Dem/Rep,Presidential Choice,Boys Name,Girls Name
AL,Alabama,1819-12-14,South,4849377,22.8,52420,32.74,-86.84,3.5,92.5,78.6,46.5,58.3,425,41415,-22.2,Romney,William,Eva
AK,Alaska,1959-01-03,Pacific,736732,25.3,665384,63.35,-152.84,16.6,1.1,52.3,2.6,22.5,688,69825,-14,Romney,Liam,Emma
AZ,Arizona,1912-02-14,Mountain,6731484,24.1,113990,34.21,-111.6,0.3,59.1,78.1,43.6,13.6,501,46709,-9.1,Romney,Noah,Sophia
AR,Arkansas,1836-06-15,South,2966369,23.8,53179,34.9,-92.44,2.2,55.8,78.8,41.5,50.6,552,38758,-23.7,Romney,Mason,Emma
CA,California,1850-09-09,Pacific,38802500,23.6,163695,37.15,-119.54,5.1,237,73.4,46.2,22.2,533,60287,23.1,Obama,Noah,Sophia
CO,Colorado,1876-08-01,Mountain,5355866,23.3,104094,38.99,-105.51,0.4,51.5,65.2,25.8,15.9,392,55387,5.4,Obama,Liam,Olivia
CT,Connecticut,1788-01-09,Northeast,3596677,21.6,5543,41.58,-72.75,14.5,648.9,69.2,28.5,50.3,281,65753,17.3,Obama,Mason,Olivia
DE,Delaware,1787-12-07,South Atlantic,935614,21.8,2489,38.99,-75.45,27.7,375.9,74.2,36.1,45.7,682,57954,18.6,Obama,Liam,Sophia
FL,Florida,1845-03-03,South Atlantic,19893297,20.4,65758,28.46,-82.41,22.6,302.5,81,59.4,54.5,712,44299,0.9,Obama,Noah,Isabella
GA,Georgia,1788-01-02,South Atlantic,10097343,24.7,59425,32.63,-83.42,3.3,169.9,78.7,47.8,50.7,471,46007,-7.8,Romney,William,Olivia
HI,Hawaii,1959-08-21,Pacific,1419561,21.7,10932,19.81,-155.51,70.2,129.9,72.2,67.4,63.7,281,62814,42.7,Obama,Noah,Emma
ID,Idaho,1890-07-03,Mountain,1634464,26.4,83569,44.3,-114.6,1.1,19.6,63.7,25.4,18.9,247,43341,-31.9,Romney,Liam,Emma
IL,Illinois,1818-12-03,Midwest,12880580,23.2,57914,40.1,-89.15,4.3,222.4,73.4,28.3,39.2,542,53234,16.9,Obama,Noah,Olivia
IN,Indiana,1816-12-11,Midwest,6596855,24,36420,39.9,-86.28,1.7,181.1,72.4,29.4,41.7,315,46438,-10.2,Romney,Liam,Emma
IA,Iowa,1846-12-28,Midwest,3107126,23.4,56273,42.07,-93.49,0.7,55.2,71.6,21.7,34,284,49427,5.8,Obama,Liam,Emma
KS,Kansas,1861-01-29,Midwest,2904021,24.9,82278,38.5,-98.38,0.6,35.3,76.4,31.9,28.9,425,48964,-21.7,Romney,William,Olivia
KY,Kentucky,1792-06-01,South,4413457,22.9,40408,37.53,-85.29,2.3,109.2,74.5,35.9,48.9,263,41141,-22.7,Romney,William,Emma
LA,Louisiana,1812-04-30,South,4649676,23.9,52378,30.86,-91.8,21.2,88.8,81.1,50.9,60.1,698,41734,-17.2,Romney,Mason,Emma
ME,Maine,1820-03-15,Northeast,1330089,19.5,35380,45.39,-68.66,14.7,37.6,63.7,16.8,42.2,116,46033,15.3,Obama,Liam,Emma
MD,Maryland,1788-04-28,South Atlantic,5976407,22.6,12406,38.95,-76.67,27.8,481.7,73.3,34.7,44.5,679,70004,26.1,Obama,Noah,Olivia
MA,Massachusetts,1788-02-06,Northeast,6745408,20.6,10554,42.16,-71.49,35.3,639.1,68,27.4,47.7,447,64859,23.1,Obama,Benjamin,Emma
MI,Michigan,1837-01-26,Midwest,9909877,22.4,96714,44.84,-85.66,71.1,102.5,66.2,21.7,32.8,562,45981,9.5,Obama,Liam,Olivia
MN,Minnesota,1858-05-11,Midwest,5457173,23.5,86936,46.32,-94.2,9.2,62.8,66.8,12.4,27.3,312,61814,7.7,Obama,Henry,Olivia
MS,Mississippi,1817-12-10,South,2994079,24.4,48432,32.69,-89.66,3.2,61.8,79.5,46.7,59,299,36919,-11.5,Romney,William,Ava
MO,Missouri,1821-08-10,Midwest,6063589,23,69707,38.35,-92.46,1.4,87,75.4,32.3,42.2,546,45247,-9.4,Romney,Liam,Emma
MT,Montana,1889-11-08,Mountain,1023579,22,147040,47.05,-109.63,1,7,64.2,21.2,15.3,254,44222,-13.7,Romney,William,Emma
NE,Nebraska,1867-03-01,Midwest,1881503,24.8,77348,41.54,-99.81,0.7,24.3,71.8,25.7,23.6,282,50296,-21.8,Romney,Liam,Olivia
