Rank,BGG ID,Title,Rating,Voters,Published,PlayingTime,MinPlayers,MaxPlayers,Designer,Categories,Mechanics,Expansions,PlayerAge,NumPlayers,Language
1,12333,Twilight Struggle,8.221,18522,2005,180,2,2,,Wargame,Action Point Allowance System,4,14,2,4: Unplayable
2,120677,Terra Mystica,8.11,11861,2012,100,2,5,,Economic,Route/Network Building,3,12,4,1: Need crib
3,25613,Through the Ages: A Story of Civilization,8.076,12585,2006,240,2,4,,Card Game,Action Point Allowance System,5,14,3,4: Unplayable
4,102794,Caverna: The Cave Farmers,8.067,6984,2013,210,1,7,Uwe Rosenberg,Economic,Tile Placement,3,12,4,3: Too much
5,31260,Agricola,8.06,37386,2007,180,1,5,Uwe Rosenberg,Economic,Card Drafting,21,12,4,4: Unplayable
6,3076,Puerto Rico,8.058,37800,2002,150,2,5,,Economic,Variable Phase Order,4,12,4,3: Too much
7,124742,Android: Netrunner,8.027,13528,2012,45,2,2,,Card Game,Action Point Allowance System,25,12,2,4: Unplayable
8,72125,Eclipse,7.952,14324,2011,200,2,6,,Fighting,Area Control / Area Influence,10,12,4,1: Need crib
9,96848,Mage Knight Board Game,7.95,11208,2011,150,1,4,,Fantasy,Card Drafting,2,14,2,4: Unplayable
10,2651,Power Grid,7.935,32431,2004,120,2,6,Friedemann Friese,Economic,Auction/Bidding,23,12,4,1: Need crib
11,84876,The Castles of Burgundy,7.922,13011,2011,90,2,4,,Dice,Dice Rolling,5,12,2,1: Need crib
12,121921,Robinson Crusoe: Adventure on the Cursed Island,7.899,8510,2012,180,1,4,,,Co-operative Play,12,10,3,4: Unplayable
13,35677,Le Havre,7.898,14847,2008,210,1,5,Uwe Rosenberg,Economic,Worker Placement,6,12,3,3: Too much
14,115746,War of the Ring (second edition),7.866,3271,2012,150,2,4,,Dice,Area Control / Area Influence,2,14,2,4: Unplayable
15,28720,Brass,7.866,8303,2007,120,3,4,Martin Wallace,Economic,Hand Management,1,14,4,1: Need crib
16,126163,Tzolk'in: The Mayan Calendar,7.831,10546,2012,90,2,4,,Economic,Set Collection,3,12,4,1: Need crib
17,68448,7 Wonders,7.8,32842,2010,30,2,7,,Card Game,Card Drafting,14,10,4,1: Need crib
18,18602,Caylus,7.797,18449,2005,120,2,5,,Economic,Worker Placement,1,12,3,1: Need crib
19,40834,Dominion: Intrigue,7.758,18108,2009,30,2,4,,Card Game,Card Drafting,16,10,3,3: Too much
20,150376,Dead of Winter: A Crossroads Game,7.733,4061,2014,100,2,5,,,Action Point Allowance System,3,12,4,4: Unplayable
21,103885,Star Wars: X-Wing Miniatures Game,7.733,9578,2012,60,2,4,,Science Fiction,Action / Movement Programming,27,10,2,3: Too much
22,28143,Race for the Galaxy,7.732,26917,2007,30,2,4,,Card Game,Hand Management,6,12,2,2: Possible
23,93,El Grande,7.731,15250,1995,90,2,5,Wolfgang Kramer,,Area Control / Area Influence,6,12,5,3: Too much
24,62219,Dominant Species,7.728,9372,2010,240,2,6,,,Area Control / Area Influence,0,14,4,3: Too much
25,146021,Eldritch Horror,7.726,6281,2013,180,1,8,,Fighting,Card Drafting,2,14,4,4: Unplayable
26,37111,Battlestar Galactica,7.708,19439,2008,240,3,6,,Science Fiction,Area Movement,4,14,5,4: Unplayable
27,36218,Dominion,7.705,41399,2008,30,2,4,,Card Game,Card Drafting,24,10,3,3: Too much
28,110327,Lords of Waterdeep,7.699,17063,2012,60,2,5,,Fantasy,Set Collection,3,10,3,3: Too much
29,128882,The Resistance: Avalon,7.694,7756,2012,30,5,10,,Card Game,Memory,1,12,7,2: Possible
30,122515,Keyflower,7.691,5443,2012,90,2,6,,Economic,Auction/Bidding,7,12,4,1: Need crib
31,12493,Twilight Imperium (Third Edition),7.691,11337,2005,240,3,6,,Science Fiction,Action Point Allowance System,2,14,6,4: Unplayable
32,42,Tigris & Euphrates,7.658,17016,1997,90,2,4,Reiner Knizia,,Area Control / Area Influence,1,12,4,1: Need crib
