Division,Team,Year,Coach,Win,Loss,Tie,Pct.,Points Scored,Points Allowed,Delta
East,Indiana,1950,Clyde B. Smith,3,5,1,0.38889,99,155,-56
East,Indiana,1951,Clyde B. Smith,2,7,0,0.22222,118,191,-73
East,Indiana,1952,Bernie A. Crimmins,2,7,0,0.22222,143,224,-81
East,Indiana,1953,Bernie A. Crimmins,2,7,0,0.22222,119,227,-108
East,Indiana,1954,Bernie A. Crimmins,3,6,0,0.33333,110,143,-33
East,Indiana,1955,Bernie A. Crimmins,3,6,0,0.33333,91,150,-59
East,Indiana,1956,Bernie A. Crimmins,3,6,0,0.33333,129,263,-134
East,Indiana,1957,Bob Hicks,1,8,0,0.11111,47,307,-260
East,Indiana,1958,Phil Dickens,5,3,1,0.61111,81,141,-60
East,Indiana,1959,Phil Dickens,4,4,1,0.5,142,105,37
East,Indiana,1960,Phil Dickens,1,8,0,0.11111,69,243,-174
East,Indiana,1961,Phil Dickens,2,7,0,0.22222,96,162,-66
East,Indiana,1962,Phil Dickens,3,6,0,0.33333,126,140,-14
East,Indiana,1963,Phil Dickens,3,6,0,0.33333,151,188,-37
East,Indiana,1964,Phil Dickens,2,7,0,0.22222,154,188,-34
East,Indiana,1965,John Pont,2,8,0,0.2,134,225,-91
East,Indiana,1966,John Pont,1,8,1,0.15,104,229,-125
East,Indiana,1967,John Pont,9,2,0,0.81818,197,159,38
East,Indiana,1968,John Pont,6,4,0,0.6,250,262,-12
East,Indiana,1969,John Pont,4,6,0,0.4,252,242,10
East,Indiana,1970,John Pont,1,9,0,0.1,102,300,-198
East,Indiana,1971,John Pont,3,8,0,0.27273,152,260,-108
East,Indiana,1972,John Pont,5,6,0,0.45455,204,272,-68
East,Indiana,1973,Lee Corso,2,9,0,0.18182,151,271,-120
East,Indiana,1974,Lee Corso,1,10,0,0.09091,166,292,-126
East,Indiana,1975,Lee Corso,2,8,1,0.22727,104,254,-150
East,Indiana,1976,Lee Corso,5,6,0,0.45455,130,254,-124
East,Indiana,1977,Lee Corso,5,5,1,0.5,205,228,-23
East,Indiana,1978,Lee Corso,4,7,0,0.36364,228,290,-62
East,Indiana,1979,Lee Corso,8,4,0,0.66667,314,252,62
East,Indiana,1980,Lee Corso,6,5,0,0.54545,255,235,20
East,Indiana,1981,Lee Corso,3,8,0,0.27273,144,293,-149
East,Indiana,1982,Lee Corso,5,6,0,0.45455,203,250,-47
East,Indiana,1983,Sam Wyche,3,8,0,0.27273,201,360,-159
East,Indiana,1984,Bill Mallory,0,11,0,0,185,338,-153
East,Indiana,1985,Bill Mallory,4,7,0,0.36364,251,340,-89
East,Indiana,1986,Bill Mallory,6,6,0,0.5,273,227,46
East,Indiana,1987,Bill Mallory,8,4,0,0.66667,283,238,45
East,Indiana,1988,Bill Mallory,8,3,1,0.70833,396,235,161
East,Indiana,1989,Bill Mallory,5,6,0,0.45455,289,262,27
East,Indiana,1990,Bill Mallory,6,5,1,0.54167,329,238,91
East,Indiana,1991,Bill Mallory,7,4,1,0.625,305,224,81
East,Indiana,1992,Bill Mallory,5,6,0,0.45455,177,197,-20
East,Indiana,1993,Bill Mallory,8,4,0,0.66667,259,197,62
East,Indiana,1994,Bill Mallory,7,4,0,0.63636,294,285,9
East,Indiana,1995,Bill Mallory,2,9,0,0.18182,159,326,-167
East,Indiana,1996,Bill Mallory,3,8,0,0.27273,242,291,-49
East,Indiana,1997,Cam Cameron,2,9,0,0.18182,120,359,-239
East,Indiana,1998,Cam Cameron,4,7,0,0.36364,245,305,-60
East,Indiana,1999,Cam Cameron,4,7,0,0.36364,291,386,-95
East,Indiana,2000,Cam Cameron,3,8,0,0.27273,337,427,-90
East,Indiana,2001,Cam Cameron,5,6,0,0.45455,305,298,7
