,As Home,As Visitor,Home Score,Visitor Score,Home Team,Visitor,Wins,Score Difference
0,Big Ten,Mountain West,12.0,21.0,Wisconsin,Wyoming,Mountain West,9.0
1,Pac-12,Mountain West,43.0,28.0,Washington State,Wyoming,Pac-12,15.0
2,Pac-12,Mountain West,13.0,34.0,Washington State,Wyoming,Mountain West,21.0
3,Pac-12,Mountain West,38.0,2.0,Washington,Wyoming,Pac-12,36.0
4,Pac-12,Mountain West,38.0,7.0,Washington,Wyoming,Pac-12,31.0
5,ACC,Mountain West,13.0,12.0,Virginia,Wyoming,ACC,1.0
10,Pac-12,Mountain West,24.0,14.0,Utah,Wyoming,Pac-12,10.0
11,Pac-12,Mountain West,30.0,27.0,Utah,Wyoming,Pac-12,3.0
12,Pac-12,Mountain West,69.0,14.0,Utah,Wyoming,Pac-12,55.0
13,Pac-12,Mountain West,37.0,20.0,Utah,Wyoming,Pac-12,17.0
14,Pac-12,Mountain West,7.0,31.0,Utah,Wyoming,Mountain West,24.0
15,Pac-12,Mountain West,10.0,28.0,Utah,Wyoming,Mountain West,18.0
16,Pac-12,Mountain West,38.0,7.0,Utah,Wyoming,Pac-12,31.0
17,Pac-12,Mountain West,41.0,7.0,Utah,Wyoming,Pac-12,34.0
18,Pac-12,Mountain West,29.0,43.0,Utah,Wyoming,Mountain West,14.0
19,Pac-12,Mountain West,35.0,0.0,Utah,Wyoming,Pac-12,35.0
20,Pac-12,Mountain West,47.0,17.0,Utah,Wyoming,Pac-12,30.0
21,Pac-12,Mountain West,43.0,13.0,Utah,Wyoming,Pac-12,30.0
22,Pac-12,Mountain West,50.0,0.0,Utah,Wyoming,Pac-12,50.0
23,Pac-12,Mountain West,22.0,10.0,Utah,Wyoming,Pac-12,12.0
24,American,Mountain West,35.0,6.0,Tulsa,Wyoming,American,29.0
25,American,Mountain West,35.0,0.0,Tulsa,Wyoming,American,35.0
26,MAC,Mountain West,15.0,20.0,Toledo,Wyoming,Mountain West,5.0
27,C-USA,Mountain West,7.0,52.0,UTEP,Wyoming,Mountain West,45.0
28,C-USA,Mountain West,39.0,32.0,UTEP,Wyoming,C-USA,7.0
29,C-USA,Mountain West,35.0,22.0,UTEP,Wyoming,C-USA,13.0
30,C-USA,Mountain West,13.0,37.0,UTEP,Wyoming,Mountain West,24.0
31,C-USA,Mountain West,10.0,17.0,UTEP,Wyoming,Mountain West,7.0
32,C-USA,Mountain West,26.0,33.0,UTEP,Wyoming,Mountain West,7.0
33,C-USA,Mountain West,19.0,42.0,UTEP,Wyoming,Mountain West,23.0
34,Big 12,Mountain West,49.0,32.0,Texas Tech,Wyoming,Big 12,17.0
35,Sun Belt,Mountain West,42.0,21.0,Texas State,Wyoming,Sun Belt,21.0
36,Big 12,Mountain West,34.0,7.0,Texas,Wyoming,Big 12,27.0
37,Big 12,Mountain West,37.0,17.0,Texas,Wyoming,Big 12,20.0
38,SEC,Mountain West,42.0,17.0,Tennessee,Wyoming,SEC,25.0
39,SEC,Mountain West,47.0,7.0,Tennessee,Wyoming,SEC,40.0
40,SEC,Mountain West,7.0,13.0,Tennessee,Wyoming,Mountain West,6.0
41,ACC,Mountain West,40.0,34.0,Syracuse,Wyoming,ACC,6.0
62,Pac-12,Mountain West,41.0,14.0,Oregon State,Wyoming,Pac-12,27.0
63,Pac-12,Mountain West,44.0,31.0,Oregon State,Wyoming,Pac-12,13.0
64,Pac-12,Mountain West,,,Oregon,Wyoming,Mountain West,
65,Big 12,Mountain West,27.0,7.0,Oklahoma State,Wyoming,Big 12,20.0
66,Big 12,Mountain West,48.0,24.0,Oklahoma State,Wyoming,Big 12,24.0
67,Big 12,Mountain West,37.0,20.0,Oklahoma,Wyoming,Big 12,17.0
68,Big Ten,Mountain West,24.0,10.0,Ohio State,Wyoming,Big Ten,14.0
69,MAC,Mountain West,33.0,34.0,Ohio,Wyoming,Mountain West,1.0
70,Big Ten,Mountain West,27.0,22.0,Northwestern,Wyoming,Big Ten,5.0
87,Big Ten,Mountain West,56.0,20.0,Nebraska,Wyoming,Big Ten,36.0
88,Big Ten,Mountain West,42.0,7.0,Nebraska,Wyoming,Big Ten,35.0
89,Big Ten,Mountain West,42.0,32.0,Nebraska,Wyoming,Big Ten,10.0
90,Big Ten,Mountain West,37.0,34.0,Nebraska,Wyoming,Big Ten,3.0
91,Big Ten,Mountain West,,,Michigan State,Wyoming,Mountain West,
92,ACC,Mountain West,9.0,44.0,Louisville,Wyoming,Mountain West,35.0
93,ACC,Mountain West,24.0,26.0,Louisville,Wyoming,Mountain West,2.0
94,Big 12,Mountain West,27.0,25.0,Kansas State,Wyoming,Big 12,2.0
95,Big 12,Mountain West,27.0,14.0,Kansas,Wyoming,Big 12,13.0
96,Big 12,Mountain West,21.0,10.0,Iowa State,Wyoming,Big 12,11.0
97,Big 12,Mountain West,38.0,41.0,Iowa State,Wyoming,Mountain West,3.0
98,Sun Belt,Mountain West,37.0,40.0,Idaho,Wyoming,Mountain West,3.0
99,American,Mountain West,34.0,10.0,Houston,Wyoming,American,24.0
100,SEC,Mountain West,16.0,9.0,Georgia,Wyoming,SEC,7.0
101,C-USA,Mountain West,28.0,30.0,Florida Atlantic,Wyoming,Mountain West,2.0
102,SEC,Mountain West,32.0,14.0,Florida,Wyoming,SEC,18.0
121,Pac-12,Mountain West,10.0,24.0,Colorado,Wyoming,Mountain West,14.0
122,Pac-12,Mountain West,30.0,13.0,Colorado,Wyoming,Pac-12,17.0
123,Pac-12,Mountain West,20.0,19.0,Colorado,Wyoming,Pac-12,1.0
124,Pac-12,Mountain West,24.0,0.0,Colorado,Wyoming,Pac-12,24.0
125,MAC,Mountain West,32.0,20.0,Central Michigan,Wyoming,MAC,12.0
131,MAC,Mountain West,27.0,28.0,Bowling Green,Wyoming,Mountain West,1.0
136,Big 12,Mountain West,39.0,18.0,Baylor,Wyoming,Big 12,21.0
137,SEC,Mountain West,35.0,21.0,Auburn,Wyoming,SEC,14.0
156,Mountain West,Big Ten,17.0,41.0,Wyoming,Wisconsin,Big Ten,24.0
157,Big 12,Big Ten,17.0,24.0,West Virginia,Wisconsin,Big Ten,7.0
158,Pac-12,Big Ten,27.0,10.0,Washington,Wisconsin,Pac-12,17.0
159,Pac-12,Big Ten,24.0,24.0,Stanford,Wisconsin,Big Ten,0.0
160,Mountain West,Big Ten,10.0,56.0,San Jose State,Wisconsin,Big Ten,46.0
161,Mountain West,Big Ten,24.0,17.0,San Diego State,Wisconsin,Mountain West,7.0
162,Mountain West,Big Ten,14.0,26.0,San Diego State,Wisconsin,Big Ten,12.0
185,Pac-12,Big Ten,10.0,7.0,Oregon State,Wisconsin,Pac-12,3.0
186,Pac-12,Big Ten,31.0,28.0,Oregon,Wisconsin,Pac-12,3.0
217,ACC,Big Ten,5.0,14.0,North Carolina,Wisconsin,Big Ten,9.0
219,SEC,Big Ten,34.0,35.0,Missouri,Wisconsin,Big Ten,1.0
312,Pac-12,Big Ten,55.0,17.0,Colorado,Wisconsin,Pac-12,38.0
313,American,Big Ten,17.0,12.0,Cincinnati,Wisconsin,American,5.0
314,Mountain West,Big Ten,10.0,13.0,Fresno State,Wisconsin,Big Ten,3.0
315,Pac-12,Big Ten,20.0,14.0,California,Wisconsin,Pac-12,6.0
316,MAC,Big Ten,14.0,35.0,Bowling Green,Wisconsin,Big Ten,21.0
317,Pac-12,Big Ten,32.0,30.0,Arizona State,Wisconsin,Pac-12,2.0
318,Pac-12,Big Ten,7.0,9.0,Arizona,Wisconsin,Big Ten,2.0
319,Mountain West,MAC,42.0,28.0,Wyoming,Western Michigan,Mountain West,14.0
320,Big Ten,MAC,21.0,10.0,Wisconsin,Western Michigan,Big Ten,11.0
321,Big Ten,MAC,14.0,24.0,Wisconsin,Western Michigan,MAC,10.0
322,Big Ten,MAC,19.0,7.0,Wisconsin,Western Michigan,Big Ten,12.0
323,Big 12,MAC,34.0,9.0,West Virginia,Western Michigan,Big 12,25.0
324,Big 12,MAC,62.0,24.0,West Virginia,Western Michigan,Big 12,38.0
325,ACC,MAC,31.0,0.0,Virginia Tech,Western Michigan,ACC,31.0
326,ACC,MAC,63.0,0.0,Virginia Tech,Western Michigan,ACC,63.0
327,ACC,MAC,,,Virginia Tech,Western Michigan,MAC,
328,ACC,MAC,31.0,19.0,Virginia,Western Michigan,ACC,12.0
329,ACC,MAC,10.0,17.0,Virginia,Western Michigan,MAC,7.0
330,SEC,MAC,24.0,27.0,Vanderbilt,Western Michigan,MAC,3.0
349,American,MAC,16.0,19.0,Temple,Western Michigan,MAC,3.0
350,American,MAC,3.0,7.0,Temple,Western Michigan,MAC,4.0
351,SEC,MAC,24.0,7.0,South Carolina,Western Michigan,SEC,17.0
352,Big Ten,MAC,28.0,13.0,Purdue,Western Michigan,Big Ten,15.0
353,Big Ten,MAC,28.0,24.0,Purdue,Western Michigan,Big Ten,4.0
354,Big Ten,MAC,43.0,34.0,Purdue,Western Michigan,Big Ten,9.0
367,Independent,MAC,44.0,20.0,Notre Dame,Western Michigan,Independent,24.0
368,Big Ten,MAC,38.0,17.0,Northwestern,Western Michigan,Big Ten,21.0
369,Big Ten,MAC,47.0,24.0,Nebraska,Western Michigan,Big Ten,23.0
370,SEC,MAC,48.0,34.0,Missouri,Western Michigan,SEC,14.0
371,SEC,MAC,52.0,24.0,Missouri,Western Michigan,SEC,28.0
372,Big Ten,MAC,28.0,23.0,Minnesota,Western Michigan,Big Ten,5.0
373,Big Ten,MAC,33.0,7.0,Michigan State,Western Michigan,Big Ten,26.0
374,Big Ten,MAC,7.0,3.0,Michigan State,Western Michigan,Big Ten,4.0
375,Big Ten,MAC,45.0,10.0,Michigan State,Western Michigan,Big Ten,35.0
376,Big Ten,MAC,42.0,10.0,Michigan State,Western Michigan,Big Ten,32.0
377,Big Ten,MAC,26.0,21.0,Michigan State,Western Michigan,Big Ten,5.0
378,Big Ten,MAC,49.0,14.0,Michigan State,Western Michigan,Big Ten,35.0
379,Big Ten,MAC,38.0,14.0,Michigan State,Western Michigan,Big Ten,24.0
380,Big Ten,MAC,26.0,13.0,Michigan State,Western Michigan,Big Ten,13.0
381,Big Ten,MAC,38.0,21.0,Michigan,Western Michigan,Big Ten,17.0
382,Big Ten,MAC,35.0,12.0,Michigan,Western Michigan,Big Ten,23.0
383,Big Ten,MAC,31.0,7.0,Michigan,Western Michigan,Big Ten,24.0
384,Big Ten,MAC,34.0,10.0,Michigan,Western Michigan,Big Ten,24.0
385,MAC[5],MAC,30.0,31.0,Massachusetts,Western Michigan,MAC,1.0
386,Big Ten,MAC,23.0,0.0,Maryland,Western Michigan,Big Ten,23.0
387,C-USA,MAC,0.0,34.0,Marshall,Western Michigan,MAC,34.0
388,C-USA,MAC,34.0,30.0,Marshall,Western Michigan,C-USA,4.0
389,C-USA,MAC,10.0,30.0,Marshall,Western Michigan,MAC,20.0
390,C-USA,MAC,19.0,14.0,Marshall,Western Michigan,C-USA,5.0
391,C-USA,MAC,31.0,21.0,Marshall,Western Michigan,C-USA,10.0
405,Big 12,MAC,34.0,20.0,Iowa State,Western Michigan,Big 12,14.0
406,Big 12,MAC,19.0,23.0,Iowa State,Western Michigan,MAC,4.0
407,Big Ten,MAC,21.0,27.0,Iowa,Western Michigan,MAC,6.0
408,Big Ten,MAC,19.0,28.0,Iowa,Western Michigan,MAC,9.0
409,Big Ten,MAC,59.0,3.0,Iowa,Western Michigan,Big Ten,56.0
410,Big Ten,MAC,24.0,10.0,Indiana,Western Michigan,Big Ten,14.0
411,Big Ten,MAC,45.0,30.0,Indiana,Western Michigan,Big Ten,15.0
412,Big Ten,MAC,39.0,20.0,Indiana,Western Michigan,Big Ten,19.0
413,Big Ten,MAC,23.0,19.0,Indiana,Western Michigan,Big Ten,4.0
414,Big Ten,MAC,30.0,27.0,Illinois,Western Michigan,Big Ten,3.0
415,Big Ten,MAC,23.0,20.0,Illinois,Western Michigan,Big Ten,3.0
416,Big Ten,MAC,24.0,7.0,Illinois,Western Michigan,Big Ten,17.0
417,Sun Belt,MAC,28.0,51.0,Idaho,Western Michigan,MAC,23.0
418,Sun Belt,MAC,,,Idaho,Western Michigan,MAC,
419,ACC,MAC,58.0,0.0,Florida State,Western Michigan,ACC,58.0
420,ACC,MAC,28.0,20.0,Florida State,Western Michigan,ACC,8.0
421,SEC,MAC,55.0,26.0,Florida,Western Michigan,SEC,29.0
440,American,MAC,41.0,27.0,Connecticut,Western Michigan,American,14.0
441,American,MAC,31.0,38.0,Connecticut,Western Michigan,MAC,7.0
495,SEC,MAC,34.0,13.0,Auburn,Western Michigan,SEC,21.0
