iso,name,capital,capital_lat,capital_lon,language,population,land,water,url,en,fr
DZA,Algeria,Algiers,36.75,3.05,ar,35406303,2381741,,el-mouradia.dz,no,no
AGO,Angola,Luanda,-8.833333333,13.23333333,pt,18056072,1246700,,governo.gov.ao,no,no
BEN,Benin,Porto-Novo,6.483333333,2.616666667,fr,9598787,110622,2000,gouv.bj,no,yes
BWA,Botswana,Gaborone,-24.75,25.91666667,en,2098018,566730,15000,gov.bw,yes,no
BFA,Burkina Faso,Ouagadougou,12.36666667,-1.516666667,fr,17275115,273800,400,gouvernement.gov.bf,no,yes
BDI,Burundi,Bujumbura,-3.366666667,29.35,"rn,fr",10557259,25680,2150,burundi-gov.bi,no,yes
CMR,Cameroon,Yaounde,3.866666667,11.51666667,"en,fr",20129878,472710,2730,spm.gov.cm,yes,yes
CAF,Central African Republic,Bangui,4.366666667,18.58333333,fr,5057208,622984,,,no,yes
TCD,Chad,N‛Djamena,12.1,15.03333333,"fr,ar",10975648,1284000,,primature-tchad.org,no,yes
COG,Congo,Brazzaville,-4.25,15.28333333,fr,4125916,341500,500,congo-site.com,no,yes
COD,"Democratic Republic of the Congo",Kinshasa,-4.316666667,15.3,fr,73599190,2267048,77810,,no,yes
CIV,Ivory Coast,Yamoussoukro,6.816666667,-5.283333333,fr,21952093,318003,4460,gouv.ci,no,yes
DJI,Djibouti,Djibouti,11.58333333,43.15,"fr,ar",774389,23180,20,presidence.dj,no,yes
EGY,Egypt,Cairo,30.05,31.25,ar,83688164,995450,6000,egypt.gov.eg,no,no
GNQ,Equatorial Guinea,Malabo,3.75,8.783333333,"es,fr",685991,28051,,guineaecuatorialpress.com,no,yes
ERI,Eritrea,Asmara,15.33333333,38.93333333,"3+",6086495,101000,16600,shabait.com,yes,no
ETH,Ethiopia,Addis Ababa,9.033333333,38.7,"3+",93815992,1000000,104300,,yes,no
GAB,Gabon,Libreville,0.383333333,9.45,fr,1608321,257667,10000,legabon.org,no,yes
GMB,Gambia,Banjul,13.45,-16.56666667,en,1840454,10000,1295,gambia.gm,yes,no
GHA,Ghana,Accra,5.55,-0.216666667,en,25241998,227533,11000,ghana.gov.gh,yes,no
GIN,Guinea,Conakry,9.55,-13.7,fr,10884958,245717,140,,no,yes
GNB,Guinea-Bissau,Bissau,11.85,-15.58333333,pt,1628603,28120,8005,,no,no
KEN,Kenya,Nairobi,-1.283333333,36.81666667,"en,sw",43013341,569140,11227,kenya.go.ke,yes,no
LSO,Lesotho,Maseru,-29.31666667,27.48333333,en,1930493,30355,,gov.ls,yes,no
LBR,Liberia,Monrovia,6.3,-10.8,en,3887886,96320,15049,emansion.gov.lr,yes,no
LBY,Libya,Tripoli,32.88333333,13.16666667,ar,6733620,1759540,,,no,no
MDG,Madagascar,Antananarivo,-18.91666667,47.51666667,"fr,mg",22585517,581540,5501,madagascar.gov.mg,no,yes
MWI,Malawi,Lilongwe,-13.98333333,33.78333333,ny,16323044,94080,24404,malawi.gov.mw,no,no
MLI,Mali,Bamako,12.65,-8,fr,14533511,1220190,20002,primature.gov.ml,no,yes
MRT,Mauritania,Nouakchott,18.11666667,-16.03333333,ar,3359185,1030700,,mauritania.mr,no,no
MAR,Morocco,Rabat,34.01666667,-6.816666667,ar,32309239,446300,250,maroc.ma,no,no
MOZ,Mozambique,Maputo,-25.95,32.58333333,pt,23515934,786380,13000,mozambique.mz,no,no
NAM,Namibia,Windhoek,-22.56666667,17.08333333,en,2165828,823290,1002,grnnet.gov.na,yes,no
NER,Niger,Niamey,13.51666667,2.116666667,fr,17078839,1267000,,presidence.ne,no,yes
NGA,Nigeria,Abuja,9.083333333,7.533333333,en,170123740,910768,13000,nigeria.gov.ng,yes,no
RWA,Rwanda,Kigali,-1.95,30.06666667,"3+",11689696,24668,1670,gov.rw,yes,yes
STP,Sao Tome and Principe,Sao Tome,0.2,6.65,pt,183176,964,,gov.st,no,no
SEN,Senegal,Dakar,24.63333333,17.46,fr,12969606,192530,4192,gouv.sn,no,yes
SLE,Sierra Leone,Freetown,8.5,-13.25,en,5485998,71620,120,statehouse.gov.sl,yes,no
SOM,Somalia,Mogadishu,2.066666667,45.36666667,so,10085638,627337,10320,somaligovernment.org,no,no
ZAF,South Africa,Pretoria,-25.7,28.21666667,"3+",48810427,1214470,4620,gov.za,yes,no
SSD,South Sudan,Juba,4.85,31.61666667,en,10625176,644329,,goss.org,yes,no
SDN,Sudan,Khartoum,15.6,32.53333333,"ar,en",34206710,1861484,,sudan.gov.sd,yes,no
SWZ,Swaziland,Mbabane,-26.3,31.1,"en,ss",1386914,17204,160,gov.sz,yes,no
TZA,Tanzania,Dar es Salaam,-6.8,39.28333333,"sw,en",43601796,885800,61500,tanzania.go.tz,yes,no
TGO,Togo,Lome,6.133333333,1.216666667,fr,6961049,54385,2400,republicoftogo.com,no,yes
TUN,Tunisia,Tunis,36.8,10.18333333,ar,10732900,155360,8250,tunisie.gov.tn,no,no
UGA,Uganda,Kampala,0.316666667,32.41666667,en,35873253,197100,43938,,yes,no
ESH,Western Sahara,Laayoune,27.15361111,-13.2033,ar,522928,266000,,,no,no
ZMB,Zambia,Lusaka,-15.41666667,28.28333333,"3+",14309466,743398,9220,statehouse.gov.zm,yes,no
ZWE,Zimbabwe,Harare,-17.83333333,31.05,en,12619600,386847,3910,gta.gov.zw,yes,no
	This data is in the public domain and was originally sourced from OpenGeoCode.Org
	http://opengeocode.org/download/cow.php
	
	iso - iso3 name
	name - english name
	capital, capital_lat, capital_lon - capital city in english, latitude and longitude
	language - list of languages, with "3+" replacing lists of three or more
	population, land, water -  country population (2012) and areas
	url - government URL
	en,fr - flags for whether or not that languages is spoken there
	
