,word,occurrence
467,ahab,511
481,air,139
1068,away,182
1082,aye,155
1651,boat,331
1654,boats,143
1665,body,108
2110,called,112
2123,came,127
2190,captain,327
2403,chapter,172
2854,come,177
3478,crew,139
3482,cried,156
3730,day,175
3784,deck,196
4092,did,256
4386,don,139
5263,eyes,155
5347,far,163
5451,feet,124
5574,fish,165
5630,flask,108
6309,god,148
6327,good,216
6412,great,292
6573,half,135
6602,hand,213
6615,hands,129
6731,head,337
6754,heard,110
6888,high,106
8073,just,117
8182,know,152
8432,let,155
8479,life,171
8501,like,639
8526,line,157
8564,little,247
8582,ll,115
8630,long,330
8641,look,203
8826,make,110
8852,man,525
8974,mast,125
9090,men,243
9317,moment,104
9674,night,149
9907,oh,155
9916,old,446
10444,pequod,173
10685,place,116
10864,poor,111
11440,queequeg,252
12107,right,147
12223,round,244
12338,said,300
12438,saw,105
12443,say,241
12584,sea,437
12642,seen,161
12867,ship,509
12996,sight,105
13063,sir,166
13231,small,127
13391,soon,129
13410,sort,151
13508,sperm,237
13693,stand,105
13705,starbuck,198
13957,stubb,257
14120,sun,102
14482,tell,135
14562,thee,130
14587,thing,186
14588,things,130
14589,think,121
14616,thou,269
14617,thought,149
14681,thy,113
14715,till,120
14723,time,332
14726,times,112
16062,water,182
16083,way,269
16162,whale,1150
16172,whales,246
16177,whaling,126
16236,white,280
16413,world,171
16498,ye,468
