Age,Weight,Height,BattingAvg,OnBasePct,HomeRunRate,SlugRate,RBIRate,WalkRate,StrikeRate,StolenBases,HitByPitch,PutOutRate,AssistRate,ErrorRate,Salary
26.25,160,72,0.3013937,0.522648,0.0522648,0.543554,0.1829268,0.2212543,0.2020905,0.2515723,0.0314465,1.9683544,0.0822784,0.0379746,4334958.25
24,185,72,0.0465116,0.116279,0,0.0465116,0.0232558,0.0697674,0.6046511,0,0,0.1025641,0.4615384,0,286500
29.25,165,70,0.2380952,0.2857142,0,0.3333333,0.1428571,0.047619,0.3333333,0,0,0.1818181,0.8181818,0.090909,281937.5
27.91666667,185,71,0.2890173,0.3776493,0.0211946,0.406551,0.1483622,0.0886319,0.0770712,0.0071942,0.0359712,0.6821705,1.9069767,0.0930232,3172900
25.16666667,195,73,0.2413793,0.275862,0,0.3448275,0.1034482,0.0344827,0.2241379,0,0,1.0833333,0,0,220000
32.16666667,185,72,0.2447093,0.3156482,0.021833,0.3593144,0.138301,0.0709388,0.1883755,0,0.0131578,1.7417582,2.1771977,0.0920329,4787738.438
34.5,215,77,0.239726,0.3150684,0.0136986,0.3082191,0.0958904,0.0753424,0.089041,0,0.04,5.6530612,0.3265306,0.0612244,1816666.667
34.58333333,190,75,0.2928452,0.40599,0.0648918,0.5574043,0.1763727,0.1131447,0.1331114,0.0193548,0,1.5584415,0.0454545,0.051948,4136107.143
30.25,235,73,0.1612903,0.1935483,0,0.1612903,0,0.032258,0.4516129,0,0,0.075,0.4,0,3610192.308
28.5,190,75,0.3009049,0.3665158,0.0316742,0.4457013,0.1696832,0.0656108,0.1696832,0.0178571,0.0089285,2.2446808,0.0531914,0.0212765,2643000
26.08333333,198,71,0.2371541,0.2845849,0.0316205,0.3794466,0.1106719,0.0474308,0.1501976,0.0530973,0.0088495,1.1664911,0.6544401,0.1085468,416000
22.33333333,205,76,0,0,0,0,0,0,0.3125,0,0,0.125,0.8125,0,993000
29.75,170,72,0.2475012,0.3439946,0.0149091,0.3606113,0.1116108,0.0964933,0.1838247,0.0068493,0.0333064,1.0566839,1.9808691,0.1067547,2105950
31.33333333,195,71,0.2481389,0.3300248,0.0124069,0.325062,0.076923,0.0818858,0.1389578,0.0155038,0.0155038,7.1875,0.4765625,0.0390625,2117875
32.41666667,195,72,0.2657342,0.4335664,0.0472027,0.4650349,0.1555944,0.1678321,0.2290209,0.0384615,0.051282,7.8289473,0.6447368,0.0394736,6981923.077
28.5,205,74,0.2028985,0.3115942,0.0072463,0.2826086,0.0724637,0.1086956,0.2101449,0.0204081,0.0408163,7.0638297,0.6382978,0.0851063,498571.4286
19.75,190,76,0.2799227,0.3378378,0.030888,0.4362934,0.1428571,0.057915,0.1698841,0.125,0.0588235,2.7580645,0.0887096,0.0645161,310000
25.75,229,74,0.2486033,0.2849162,0.0418994,0.4525139,0.1620111,0.0363128,0.1759776,0,0.0277777,6.247619,0.2190476,0.0666666,305750
24.83333333,200,74,0.2872807,0.3596491,0.0350877,0.489035,0.1425438,0.0723684,0.1403508,0.0074626,0.0373134,7.9615384,0.3615384,0.0461538,1008416.667
28,180,72,0.240924,0.2838283,0.0528052,0.4554455,0.1815181,0.0429042,0.1287128,0.0891719,0.0254777,0.5290322,1.9935483,0.1225806,2119562.5
28.41666667,170,71,0.2857142,0.3506493,0.0204081,0.4007421,0.1205936,0.064935,0.1224489,0.0425531,0.0283687,1.9629629,0.0592592,0.0296296,1045454.545
20.83333333,192,72,0.2098484,0.3175757,0,0.2323484,0.0308333,0.1077272,0.4465151,0,0,0.4545454,1.5454545,0.090909,300000
22.75,200,74,0.2822384,0.3819951,0.0632603,0.5498783,0.1995133,0.0997566,0.3138686,0.0333333,0.0833333,1.7777777,0.025641,0.017094,305000
