Result,Late,Month,Day,Count,Fraction
0,0,1,1,154817,0.502386724
1,0,1,1,82024,0.266170825
2,1,1,1,28829,0.09355114
3,1,1,1,19794,0.064232241
4,1,1,1,10728,0.034812745
5,1,1,1,3850,0.012493388
6,1,1,1,719,0.002333181
7,1,1,1,854,0.002771261
8,1,1,1,6548,0.021248495
0,0,1,2,128041,0.381050589
1,0,1,2,96099,0.285991054
2,1,1,2,42524,0.126551614
3,1,1,2,32467,0.096621937
4,1,1,2,17385,0.051737838
5,1,1,2,6545,0.019477949
6,1,1,2,1186,0.003529541
7,1,1,2,1165,0.003467045
8,1,1,2,10609,0.031572431
0,0,1,3,122984,0.363054542
1,0,1,3,95752,0.282664399
2,1,1,3,44577,0.131593397
3,1,1,3,36122,0.10663384
4,1,1,3,20470,0.060428401
5,1,1,3,6476,0.019117456
6,1,1,3,1199,0.003539504
7,1,1,3,1081,0.003191163
8,1,1,3,10087,0.029777298
0,0,1,4,133606,0.397903358
1,0,1,4,94061,0.28013104
2,1,1,4,41169,0.12260889
3,1,1,4,30964,0.092216514
4,1,1,4,16894,0.050313454
5,1,1,4,6018,0.017922716
6,1,1,4,1151,0.003427891
7,1,1,4,1087,0.003237287
8,1,1,4,10825,0.03223885
0,0,1,5,136604,0.408342376
1,0,1,5,94212,0.281622441
2,1,1,5,38512,0.115121677
3,1,1,5,30095,0.08996123
4,1,1,5,17441,0.052135365
5,1,1,5,6472,0.019346372
6,1,1,5,872,0.002606619
7,1,1,5,1154,0.003449585
8,1,1,5,9171,0.027414336
0,0,1,6,140364,0.422910515
1,0,1,6,90930,0.273968063
2,1,1,6,36886,0.111135884
3,1,1,6,28277,0.085197349
4,1,1,6,16439,0.049529979
5,1,1,6,5087,0.015326906
6,1,1,6,734,0.002211509
7,1,1,6,1265,0.003811389
8,1,1,6,11918,0.035908406
0,0,1,7,154163,0.463918798
1,0,1,7,90680,0.272881019
2,1,1,7,32764,0.098595872
3,1,1,7,22064,0.066396634
4,1,1,7,10955,0.032966603
5,1,1,7,3961,0.011919737
6,1,1,7,538,0.00161899
7,1,1,7,1131,0.00340349
8,1,1,7,16050,0.048298857
0,0,1,8,157518,0.475042749
1,0,1,8,87098,0.262670129
2,1,1,8,30620,0.092343789
3,1,1,8,21196,0.063922892
4,1,1,8,11544,0.034814393
5,1,1,8,4296,0.012955876
6,1,1,8,845,0.002548351
7,1,1,8,1170,0.003528486
8,1,1,8,17300,0.052173336
0,0,1,9,162238,0.488215752
1,0,1,9,86072,0.259012723
2,1,1,9,30781,0.092627923
3,1,1,9,22902,0.068917992
4,1,1,9,12836,0.038626816
5,1,1,9,4155,0.012503461
6,1,1,9,689,0.002073378
7,1,1,9,1131,0.003403469
8,1,1,9,11504,0.034618486
0,0,1,10,167749,0.504130741
1,0,1,10,89378,0.268604864
2,1,1,10,30575,0.091886076
3,1,1,10,21401,0.064315746
4,1,1,10,11357,0.034130831
5,1,1,10,3087,0.009277263
6,1,1,10,378,0.001135991
7,1,1,10,900,0.002704741
8,1,1,10,7924,0.023813745
0,0,1,11,163542,0.492498479
1,0,1,11,87903,0.264715448
2,1,1,11,29989,0.09031036
3,1,1,11,21102,0.063547608
4,1,1,11,11771,0.035447772
5,1,1,11,4351,0.013102817
6,1,1,11,701,0.002111026
7,1,1,11,1253,0.003773346
8,1,1,11,11454,0.034493143
0,0,1,12,158586,0.479276851
1,0,1,12,85501,0.258400174
2,1,1,12,31171,0.094204651
3,1,1,12,23236,0.070223582
4,1,1,12,13351,0.040349244
5,1,1,12,4602,0.013908113
6,1,1,12,738,0.002230375
7,1,1,12,1441,0.004354974
8,1,1,12,12260,0.037052036
0,0,1,13,164277,0.499320671
1,0,1,13,88225,0.268160279
2,1,1,13,29785,0.09053164
3,1,1,13,20416,0.062054523
4,1,1,13,11429,0.034738496
5,1,1,13,3646,0.011082033
6,1,1,13,446,0.001355619
7,1,1,13,909,0.00276291
8,1,1,13,9868,0.02999383
0,0,1,14,166917,0.504270302
1,0,1,14,90109,0.272226871
2,1,1,14,29098,0.087907506
3,1,1,14,19424,0.058681538
4,1,1,14,10586,0.031981197
5,1,1,14,3268,0.009872903
6,1,1,14,518,0.001564922
7,1,1,14,854,0.002580006
8,1,1,14,10233,0.030914754
0,0,1,15,163469,0.493862556
1,0,1,15,90412,0.273147211
2,1,1,15,30185,0.091193078
3,1,1,15,20769,0.062746034
4,1,1,15,11927,0.036033124
5,1,1,15,3877,0.011712956
6,1,1,15,498,0.001504527
7,1,1,15,721,0.002178241
8,1,1,15,9143,0.027622273
0,0,1,16,162948,0.490460066
1,0,1,16,91257,0.274676058
2,1,1,16,30976,0.09323521
3,1,1,16,21613,0.065053351
4,1,1,16,11372,0.034228784
5,1,1,16,3258,0.009806312
6,1,1,16,475,0.001429711
7,1,1,16,1044,0.003142354
8,1,1,16,9292,0.027968155
0,0,1,17,155893,0.468304655
1,0,1,17,91518,0.274921295
2,1,1,17,32451,0.097483238
3,1,1,17,23018,0.06914638
4,1,1,17,12753,0.038310182
5,1,1,17,4336,0.013025402
6,1,1,17,564,0.001694264
7,1,1,17,1154,0.003466631
8,1,1,17,11201,0.033647954
0,0,1,18,149766,0.452009151
1,0,1,18,88426,0.266878739
2,1,1,18,33379,0.100741246
