Series Id,Year,Period,Value
CUUR0000SEEB01,2005,M01,7.9
CUUR0000SEEB01,2005,M02,8
CUUR0000SEEB01,2005,M03,7.9
CUUR0000SEEB01,2005,M04,7.9
CUUR0000SEEB01,2005,M05,8.1
CUUR0000SEEB01,2005,M06,8.1
CUUR0000SEEB01,2005,M07,7.9
CUUR0000SEEB01,2005,M08,7.3
CUUR0000SEEB01,2005,M09,6.8
CUUR0000SEEB01,2005,M10,6.7
CUUR0000SEEB01,2005,M11,6.6
CUUR0000SEEB01,2005,M12,6.6
CUUR0000SEEB01,2006,M01,6.7
CUUR0000SEEB01,2006,M02,6.6
CUUR0000SEEB01,2006,M03,6.5
CUUR0000SEEB01,2006,M04,6.6
CUUR0000SEEB01,2006,M05,6.4
CUUR0000SEEB01,2006,M06,6.4
CUUR0000SEEB01,2006,M07,6.8
CUUR0000SEEB01,2006,M08,7.1
CUUR0000SEEB01,2006,M09,6.5
CUUR0000SEEB01,2006,M10,6.8
CUUR0000SEEB01,2006,M11,7
CUUR0000SEEB01,2006,M12,7
CUUR0000SEEB01,2007,M01,6.6
CUUR0000SEEB01,2007,M02,6.7
CUUR0000SEEB01,2007,M03,6.7
CUUR0000SEEB01,2007,M04,6.6
CUUR0000SEEB01,2007,M05,6.4
CUUR0000SEEB01,2007,M06,6.3
CUUR0000SEEB01,2007,M07,6.2
CUUR0000SEEB01,2007,M08,6
CUUR0000SEEB01,2007,M09,5.5
CUUR0000SEEB01,2007,M10,6.1
CUUR0000SEEB01,2007,M11,6
CUUR0000SEEB01,2007,M12,6.1
CUUR0000SEEB01,2008,M01,6.3
CUUR0000SEEB01,2008,M02,6.2
CUUR0000SEEB01,2008,M03,6.1
CUUR0000SEEB01,2008,M04,6.4
CUUR0000SEEB01,2008,M05,6.4
CUUR0000SEEB01,2008,M06,6.4
CUUR0000SEEB01,2008,M07,6.3
CUUR0000SEEB01,2008,M08,6.3
CUUR0000SEEB01,2008,M09,6.7
CUUR0000SEEB01,2008,M10,6.1
CUUR0000SEEB01,2008,M11,5.9
CUUR0000SEEB01,2008,M12,5.8
CUUR0000SEEB01,2009,M01,5.8
CUUR0000SEEB01,2009,M02,5.8
CUUR0000SEEB01,2009,M03,5.8
CUUR0000SEEB01,2009,M04,5.7
CUUR0000SEEB01,2009,M05,5.9
CUUR0000SEEB01,2009,M06,5.9
CUUR0000SEEB01,2009,M07,5.9
CUUR0000SEEB01,2009,M08,6.5
CUUR0000SEEB01,2009,M09,6.4
CUUR0000SEEB01,2009,M10,6.4
CUUR0000SEEB01,2009,M11,6
CUUR0000SEEB01,2009,M12,6
CUUR0000SEEB01,2010,M01,5.8
CUUR0000SEEB01,2010,M02,5.7
CUUR0000SEEB01,2010,M03,6
CUUR0000SEEB01,2010,M04,6.1
CUUR0000SEEB01,2010,M05,5.8
CUUR0000SEEB01,2010,M06,5.8
CUUR0000SEEB01,2010,M07,5.8
CUUR0000SEEB01,2010,M08,5.1
CUUR0000SEEB01,2010,M09,4.4
CUUR0000SEEB01,2010,M10,3.8
CUUR0000SEEB01,2010,M11,4.2
CUUR0000SEEB01,2010,M12,4.1
CUUR0000SEEB01,2011,M01,4.5
CUUR0000SEEB01,2011,M02,4.7
CUUR0000SEEB01,2011,M03,4.5
CUUR0000SEEB01,2011,M04,4.3
CUUR0000SEEB01,2011,M05,4.5
CUUR0000SEEB01,2011,M06,4.4
CUUR0000SEEB01,2011,M07,4.7
CUUR0000SEEB01,2011,M08,5.3
CUUR0000SEEB01,2011,M09,5.6
CUUR0000SEEB01,2011,M10,5.7
CUUR0000SEEB01,2011,M11,5.9
CUUR0000SEEB01,2011,M12,6
CUUR0000SEEB01,2012,M01,5.6
CUUR0000SEEB01,2012,M02,5.4
CUUR0000SEEB01,2012,M03,5.4
CUUR0000SEEB01,2012,M04,5.4
CUUR0000SEEB01,2012,M05,5.3
CUUR0000SEEB01,2012,M06,5.3
CUUR0000SEEB01,2012,M07,5.4
CUUR0000SEEB01,2012,M08,4.2
CUUR0000SEEB01,2012,M09,4
CUUR0000SEEB01,2012,M10,4.4
CUUR0000SEEB01,2012,M11,4.1
CUUR0000SEEB01,2012,M12,4
CUUR0000SEEB01,2013,M01,4.5
CUUR0000SEEB01,2013,M02,4.6
CUUR0000SEEB01,2013,M03,4.5
CUUR0000SEEB01,2013,M04,4.6
CUUR0000SEEB01,2013,M05,4.5
CUUR0000SEEB01,2013,M06,4.5
CUUR0000SEEB01,2013,M07,4.2
CUUR0000SEEB01,2013,M08,4.2
CUUR0000SEEB01,2013,M09,3.7
CUUR0000SEEB01,2013,M10,3.7
CUUR0000SEEB01,2013,M11,3.9
CUUR0000SEEB01,2013,M12,3.9
CUUR0000SEEB01,2014,M01,3.5
