Title,US Gross,Worldwide Gross,Budget,Release,MPAA Rating,Running Time,Distributor,Source,Genre,Type,Director,Rotten Tomatoes,IMDB Rating,IMDB Votes,Cluster
The Godfather,134966411,268500000,7000000,3/15/72,,,Paramount Pictures,,,Historical Fiction,Francis Ford Coppola,100,9.2,411088,#2
The Exorcist,204632868,402500000,12000000,12/26/73,R,,Warner Bros.,Based on Book/Short Story,Horror,Contemporary Fiction,William Friedkin,84,8.1,103131,#2
Jaws,260000000,470700000,12000000,6/20/75,PG,,Universal,Based on Book/Short Story,Horror,Contemporary Fiction,Steven Spielberg,100,8.3,138017,#2
Rocky,117235147,225000000,1000000,11/21/76,,,MGM,,,,John G. Avildsen,,4,84,#2
Star Wars Ep. IV: A New Hope,460998007,797900000,11000000,5/25/77,PG,,20th Century Fox,Original Screenplay,Adventure,Science Fiction,George Lucas,,,,#2
The Spy Who Loved Me,46800000,185400000,14000000,7/13/77,,,MGM,Based on Book/Short Story,Action,Contemporary Fiction,,78,7.1,24938,#3
Close Encounters of the Third Kind,166000000,337700000,20000000,11/16/77,,,Sony Pictures,Original Screenplay,Adventure,Science Fiction,Steven Spielberg,95,7.8,59049,#2
Jaws 2,102922376,208900376,20000000,6/16/78,PG,,Universal,Based on Book/Short Story,Horror,Contemporary Fiction,,56,5.6,18793,#2
Grease,305260,206005260,6000000,6/16/78,PG,,Paramount Pictures,Based on Musical/Opera,Musical,Historical Fiction,Randal Kleiser,83,7,60146,#3
Superman,134218018,300200000,55000000,12/15/78,PG,,Warner Bros.,Based on Comic/Graphic Novel,Adventure,Super Hero,Richard Donner,94,4.9,129,#2
Alien,80930630,203630630,9000000,5/25/79,R,,20th Century Fox,Original Screenplay,Horror,Science Fiction,Ridley Scott,97,8.5,180387,#3
Moonraker,70300000,210300000,31000000,6/29/79,,,MGM,Based on Book/Short Story,Action,Contemporary Fiction,,64,6.1,26760,#3
Star Wars Ep. V: The Empire Strikes Back,290271960,534171960,23000000,5/21/80,PG,,20th Century Fox,Original Screenplay,Adventure,Science Fiction,,,,,#2
Raiders of the Lost Ark,245034358,386800358,20000000,6/12/81,PG,,Paramount Pictures,Original Screenplay,Adventure,Historical Fiction,Steven Spielberg,,8.7,242661,#2
For Your Eyes Only,54800000,195300000,28000000,6/26/81,,,MGM,Based on Book/Short Story,Action,Contemporary Fiction,John Glen,71,6.8,23527,#3
ET: The Extra-Terrestrial,435110554,792910554,10500000,6/11/82,PG,,Universal,Original Screenplay,Drama,Science Fiction,Steven Spielberg,,7.9,105028,#2
Tootsie,177200000,177200000,15000000,12/17/82,,,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Sydney Pollack,87,7.4,31669,#3
Flashdance,90463574,201463574,7000000,4/15/83,,,Paramount Pictures,Original Screenplay,Drama,Contemporary Fiction,Adrian Lyne,29,5.6,12485,#3
Star Wars Ep. VI: Return of the Jedi,309205079,572700000,32500000,5/25/83,PG,,20th Century Fox,Original Screenplay,Adventure,Science Fiction,Richard Marquand,,,,#2
Octopussy,67900000,187500000,27500000,6/10/83,,,MGM,Based on Book/Short Story,Action,Contemporary Fiction,John Glen,47,6.6,23167,#3
Indiana Jones and the Temple of Doom,179880271,333080271,28000000,5/23/84,,,Paramount Pictures,Original Screenplay,Adventure,Historical Fiction,Steven Spielberg,85,7.5,110761,#2
Ghostbusters,238632124,291632124,30000000,6/8/84,PG,,Sony Pictures,Original Screenplay,Comedy,Science Fiction,Ivan Reitman,,6.8,358,#2
Beverly Hills Cop,234760478,316300000,15000000,12/5/84,,,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,Martin Brest,83,7.3,45065,#3
Rambo: First Blood Part II,150415432,300400000,44000000,5/22/85,R,,Sony/TriStar,Based on Book/Short Story,Action,Contemporary Fiction,George P. Cosmatos,30,5.8,38548,#3
Back to the Future,210609762,381109762,19000000,7/3/85,,,Universal,Original Screenplay,Adventure,Science Fiction,Robert Zemeckis,96,8.4,201598,#3
Out of Africa,79096868,258210860,31000000,12/18/85,,,Universal,Based on Book/Short Story,Drama,Historical Fiction,Sydney Pollack,63,7,19638,#3
Top Gun,176786701,353786701,15000000,5/16/86,,,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,Tony Scott,45,6.5,80013,#3
Aliens,85160248,183316455,17000000,7/18/86,R,137,20th Century Fox,Original Screenplay,Action,Science Fiction,James Cameron,100,7.5,84,#5
Crocodile Dundee,174803506,328000000,5000000,9/26/86,,,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,,88,6.5,27277,#3
Good Will Hunting,138433435,225933435,10000000,2/20/87,R,126,Miramax,Original Screenplay,Drama,Contemporary Fiction,Gus Van Sant,97,8.1,150415,#3
Beverly Hills Cop II,153665036,276665036,20000000,5/20/87,R,,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,Tony Scott,46,6.1,29712,#3
The Living Daylights,51185000,191200000,40000000,7/31/87,,,MGM,Based on Book/Short Story,Action,Contemporary Fiction,John Glen,73,6.7,23735,#3
Fatal Attraction,156645693,320100000,14000000,9/18/87,,,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Adrian Lyne,81,6.8,22328,#3
3 Men and a Baby,167780960,167780960,15000000,11/25/87,,,Walt Disney Pictures,Remake,Comedy,Contemporary Fiction,Leonard Nimoy,,5.7,16764,#3
Rambo III,53715611,188715611,58000000,5/25/88,,,Sony/TriStar,Based on Book/Short Story,Action,Contemporary Fiction,,36,4.9,31551,#3
Who Framed Roger Rabbit?,154112492,351500000,70000000,6/22/88,,,Walt Disney Pictures,Based on Book/Short Story,Comedy,Fantasy,Robert Zemeckis,98,7.6,53541,#3
Twins,111936388,216600000,15000000,12/9/88,,,Universal,Original Screenplay,Comedy,Contemporary Fiction,Ivan Reitman,33,,,#3
Rain Man,172825435,412800000,25000000,12/16/88,,,MGM,Original Screenplay,Comedy,Contemporary Fiction,Barry Levinson,87,8,106163,#3
